loan_amount,income,credit_score,employment_years,debt_to_income,years_at_current_address,number_of_dependents,age,gender,race,age_group,loan_approved
98709.31470332576,52671.49312803766,434,1,1.8740557527650876,0,3,63,Male,White,50+,0
124422.75704837995,45751.32905914986,382,1,2.7195441008395473,18,3,42,Female,White,31-50,0
67958.72565772755,89225.47660459808,486,8,0.7616515847697407,15,2,58,Female,Asian,50+,0
60416.50550774346,23631.399976930188,327,4,2.5566198179847235,14,3,48,Female,White,31-50,0
62790.16933185415,61251.6298693873,428,12,1.025118343230174,13,1,50,Male,White,31-50,0
117562.31311222339,79155.39396317063,465,1,1.4852091212750795,8,0,41,Male,Hispanic,31-50,0
195659.80962086722,151497.39639630888,574,0,1.2915060870685322,14,0,46,Male,White,31-50,0
70603.91514042487,47057.09894263294,349,0,1.5003881821634975,6,4,27,Female,Hispanic,18-30,0
61704.52939456771,70419.76828106256,418,3,0.8762387451814639,3,0,57,Female,White,50+,0
42734.914566586776,24296.03880057855,360,31,1.7589251860088877,17,1,23,Female,White,18-30,0
50082.12949156836,20000.0,369,5,2.504106474578418,7,3,43,Male,White,31-50,0
146500.60547878963,91343.9369440537,525,1,1.6038350259472423,11,0,53,Female,White,50+,0
103087.73996837297,59707.91398608056,394,10,1.7265339397454977,14,3,37,Female,Asian,31-50,0
282988.86322260957,107931.96402869473,530,7,2.6219189632032855,14,3,39,Male,White,31-50,0
68250.32374722628,30130.660559004966,408,0,2.265145286595077,16,4,26,Male,White,18-30,0
134032.349846596,77648.7763378545,513,8,1.726136021299462,1,0,57,Male,White,50+,0
174407.32884712255,152422.09930301513,601,1,1.1442391204729492,11,1,51,Male,White,50+,1
200316.92299696145,73854.54311251716,436,0,2.7123168671124165,2,3,66,Male,Hispanic,50+,0
133558.2261553275,68754.03830568449,447,1,1.9425510042263958,6,0,40,Male,White,31-50,0
63309.892995836526,60130.83439243197,362,3,1.0528690252767334,5,1,44,Male,Black,31-50,0
32014.77507444148,27297.742117582697,344,2,1.172799381595026,13,2,55,Female,Asian,50+,0
295730.956954006,117922.91978629015,573,1,2.507832722340615,4,0,34,Male,White,31-50,0
26926.63559037279,44115.70762974162,420,0,0.6103639052186387,3,3,64,Male,Asian,50+,0
229634.05688996284,77052.44926142988,440,7,2.98023046757205,14,2,50,Male,White,31-50,0
22633.26674260422,27405.057255521864,365,23,0.8258791992869794,6,0,57,Male,White,50+,0
82670.79514113598,33198.838446658614,325,7,2.4901713134923433,2,0,43,Female,White,31-50,0
182455.73376326344,122705.65278572444,580,1,1.4869382919292071,12,0,68,Male,Black,50+,0
87097.42675534527,50329.610233440624,396,1,1.7305404582186674,9,0,57,Male,Asian,50+,0
334533.3036952183,123826.63209419654,533,1,2.7016264436614446,1,2,30,Female,White,18-30,0
88224.51669935665,57577.35750165481,397,0,1.532277973973033,11,0,60,Male,Black,50+,0
43951.594617653005,23838.354914190575,344,4,1.8437343841830862,11,1,40,Female,White,31-50,0
58292.276740640555,93529.65210994429,464,4,0.6232491560229249,18,3,59,Male,White,50+,0
22551.9244168325,44580.589983752485,422,6,0.5058686846686329,18,1,27,Male,White,18-30,0
94419.6339314324,84909.76698733548,450,5,1.1119996825043148,2,0,68,Female,Asian,50+,0
133482.43568949238,60633.65820347676,500,1,2.201457732296918,5,4,36,Female,Black,31-50,0
22230.98542768228,27679.321192223306,428,2,0.8031622333978417,1,0,41,Female,White,31-50,0
50986.56476438333,65000.3141982476,385,5,0.7844048970113735,12,3,30,Male,White,18-30,0
274218.22493891855,179532.50755099684,662,2,1.5274015200897582,8,2,53,Male,White,50+,1
162383.66684239704,76610.79167239931,420,1,2.119592596520566,12,2,25,Female,White,18-30,0
132653.46786792733,58176.75314905092,400,2,2.280179980619826,13,2,39,Male,White,31-50,0
96983.1856681642,102505.49654769996,605,1,0.9461266852459369,18,1,26,Male,Hispanic,18-30,0
46499.05661784879,66525.0756227136,417,0,0.6989703684301061,10,3,41,Male,White,31-50,0
189554.96688627926,66487.35878607373,450,8,2.8509925848638606,13,3,44,Male,White,31-50,0
39950.519934757576,34689.32958603456,396,9,1.1516659564052543,15,1,32,Female,White,31-50,0
177227.05416097873,67300.5718681609,384,1,2.6333662440218095,9,1,58,Male,Hispanic,50+,0
267151.1164931097,100480.77636236712,458,0,2.6587286261570457,19,3,43,Female,Black,31-50,0
95836.38395981485,39417.64840079507,318,6,2.431306479406361,15,1,25,Male,White,18-30,0
112547.31335558344,122057.54717096541,499,1,0.9220840166314253,1,3,50,Male,Black,31-50,0
146093.91186189797,57190.723516300335,300,2,2.554503648135501,15,2,65,Male,White,50+,0
93076.20550743895,38411.61797431148,404,0,2.4231263981039666,13,1,55,Male,White,50+,0
